fname,label,length
cat(1).wav,cat,1.50
cat(10).wav,cat,1.56
cat(2).wav,cat,1.76
cat(3).wav,cat,4.00
cat(4).wav,cat,1.30
cat(5).wav,cat,1.60
cat(6).wav,cat,3.55
cat(7).wav,cat,1.83
cat(8).wav,cat,2.46
cat(9).wav,cat,1.68
dog(1).wav,dog,6.47
dog(10).wav,dog,1.71
dog(2).wav,dog,4.33
dog(3).wav,dog,0.30
dog(4).wav,dog,2.74
dog(5).wav,dog,3.27
dog(6).wav,dog,4.12
dog(7).wav,dog,0.91
dog(8).wav,dog,7.67
dog(9).wav,dog,23.83
Human(1).wav,human,1.43
Human(10).wav,human,1.79
Human(2).wav,human,1.74
Human(3).wav,human,1.33
Human(4).wav,human,1.63
Human(5).wav,human,1.67
Human(6).wav,human,2.09
Human(7).wav,human,1.53
Human(8).wav,human,1.90
Human(9).wav,human,1.43
